Lagerstroemia indica, not metaphorical, multiword expression
Chrysogonum virginianum, metaphorical, multiword expression
Northern bungalow palm, not metaphorical, multiword expression
Salix apoda, not metaphorical, multiword expression
Styrax officinalis, not metaphorical, multiword expression
Lepismium warmingianum, not metaphorical, multiword expression
Freckles, metaphorical, not multiword expression
Glaucium ﬂavum, not metaphorical, multiword expression
Sansevieria trifasciata, not metaphorical, multiword expression
Betty Corning, not metaphorical, multiword expression
subsp. dendritica, not metaphorical, multiword expression
var. maximowiczii, not metaphorical, multiword expression
Tulip tree, not metaphorical, multiword expression
Bomarea hirsute, not metaphorical, multiword expression
Nyssa sylvatica, not metaphorical, multiword expression
Red Lion, metaphorical, multiword expression
Black Prince, metaphorical, multiword expression
Acer henryi, not metaphorical, multiword expression
Yellow palm, not metaphorical, multiword expression
Maja, not metaphorical, not multiword expression
Brachyscome, not metaphorical, not multiword expression
Jackman’s Blue, metaphorical, multiword expression
Dioscorea discolour, metaphorical, multiword expression
Amber, metaphorical, not multiword expression
Mountain laurel, metaphorical, multiword expression
Oplismenus africanus, not metaphorical, multiword expression
Koelreuteria paniculata, not metaphorical, multiword expression
California Glory, metaphorical, multiword expression
Yarrow, not metaphorical, not multiword expression
Tilia, not metaphorical, not multiword expression
Sarcococca confusa, metaphorical, multiword expression
Evirin, not metaphorical, not multiword expression
Oranges and lemons, metaphorical, multiword expression
Veitch’s scarlet, not metaphorical, multiword expression
Minor, not metaphorical, not multiword expression
Berberidopsis corallina, not metaphorical, multiword expression
Cymbidium Caithness Ice gx, not metaphorical, multiword expression
x Beallara Eurostar gx, not metaphorical, multiword expression
Marble Queen, metaphorical, multiword expression
Cistus salviifolius, not metaphorical, multiword expression
Blue Bonnet, metaphorical, multiword expression
Myriophyllum verticillatum, not metaphorical, multiword expression
Rubus tricolor, not metaphorical, multiword expression
Fritillaria meleagris, not metaphorical, multiword expression
Winter’s bark, metaphorical, multiword expression
Arisaema jacquemontii, not metaphorical, multiword expression
M. x soulangeana, not metaphorical, multiword expression
Cytisus x beanii, not metaphorical, multiword expression
Bead plant, not metaphorical, multiword expression
Margaret Davis, not metaphorical, multiword expression
Blanket ﬂower, metaphorical, multiword expression
Aunt Millicent, not metaphorical, multiword expression
Pulborough, not metaphorical, not multiword expression
Snow Bunting, metaphorical, multiword expression
Sarah Bernhardt, not metaphorical, multiword expression
Malus x magdeburgensis, not metaphorical, multiword expression
Globularia cordifolia, not metaphorical, multiword expression
Zygopetalum Perrenoudii gx, not metaphorical, multiword expressionAlbovittata, not metaphorical, not multiword expression
Selaginella martensii, not metaphorical, multiword expression
Doll’s eyes, metaphorical, multiword expression
Atropurpurea, not metaphorical, not multiword expression
Emerald Carpet, metaphorical, multiword expression
Mistletoe cactus, not metaphorical, multiword expression
Ulmus minor, not metaphorical, multiword expression
Uncle Tom, metaphorical, multiword expression
Portulacaria afra, not metaphorical, multiword expression
Stachys macrantha, not metaphorical, multiword expression
Akita, not metaphorical, not multiword expression
Curled pondweed, metaphorical, multiword expression
Ledum groenlandicum, not metaphorical, multiword expression
Erinacea anthyllis, not metaphorical, multiword expression
Zinnia haageana, not metaphorical, multiword expression
Salix daphnoides, not metaphorical, multiword expression
Russian vine, not metaphorical, multiword expression
Santa Anita, not metaphorical, multiword expression
Elaeagnus pungens, not metaphorical, multiword expression
Helenium, not metaphorical, not multiword expression
Rodgersia aesculifolia, not metaphorical, multiword expression
Polystichum setiferum, not metaphorical, multiword expression
Hamari accord, metaphorical, multiword expression
Fritillaria raddeana, not metaphorical, multiword expression
Panda plant, metaphorical, multiword expression
Pearly everlasting, not metaphorical, multiword expression
Callicarpa bodinieri var. giraldii, not metaphorical, multiword expression
Fiesta Gitana Group, not metaphorical, multiword expression
Stipa, not metaphorical, not multiword expression
Hepatica nobilis var. Japónica, not metaphorical, multiword expression
Silver Dust, metaphorical, multiword expression
subsp. Sieboldianus, not metaphorical, multiword expression
Eriogonum umbellatum, not metaphorical, multiword expression
Salix Helvetica, not metaphorical, multiword expression
Yachiyo-tsubaki, not metaphorical, multiword expression
Clara Curtis, not metaphorical, multiword expression
Pinus parviﬂora, not metaphorical, multiword expression
Schizostylis coccine, not metaphorical, multiword expression
Apricot glow, metaphorical, multiword expression
Cardiospermum halicacabum, not metaphorical, multiword expression
Canary Island bellﬂower, metaphorical, multiword expression
Harrington’s Pink, metaphorical, multiword expression
Luronium natans, not metaphorical, multiword expression
Eryngium bourgatii, not metaphorical, multiword expression
Pterostyrax hispida, not metaphorical, multiword expression
Cardinal de Richelieu, not metaphorical, multiword expression
Ranunculus calandrinioides, not metaphorical, multiword expression
Hedera canariensis, not metaphorical, multiword expression
Tangust, not metaphorical, not multiword expression
Dracunculus vulgaris, not metaphorical, multiword expression
Foamﬂower, metaphorical, not multiword expression
Acer capillipes, not metaphorical, multiword expression
Echeveria secunda, not metaphorical, multiword expression
Lycaste cruenta, not metaphorical, multiword expression
Ampeldesmos mauritanica, not metaphorical, multiword expression
Buddleja davidii, not metaphorical, multiword expression
Cotoneaster conspicuus, not metaphorical, multiword expression
Harregale, not metaphorical, not multiword expression
Lillet, not metaphorical, not multiword expression
Prince Igor, not metaphorical, multiword expression
Red Robin, not metaphorical, multiword expression
Spring Morning, metaphorical, multiword expression
Persian Jewels Series, metaphorical, multiword expression
Solandra maxima, not metaphorical, multiword expression
Tradescantia fluminensis, not metaphorical, multiword expression
California nutmeg, not metaphorical, multiword expression
Escallonia, not metaphorical, not multiword expression
Swamp cypress, not metaphorical, multiword expression
George Davison, not metaphorical, multiword expression
Dark star, metaphorical, multiword expression
Matrona, not metaphorical,  not multiword expression
Orontium aquaticum, not metaphorical, multiword expression
Jasminum nudiflorum, not metaphorical, multiword expression
Pagei, not metaphorical, not multiword expression
Betula utilis var. jacquemontii, not metaphorical, multiword expression
White Gem, metaphorical, multiword expression
Briotii, not metaphorical, not multiword expression
Dudleya pulverulenta, not metaphorical, multiword expression
Summer snowﬂake, metaphorical, multiword expression
Moerloosei, not metaphorical, multiword expression
Verbena bonariensis, not metaphorical, multiword expression
Salix repens, not metaphorical, multiword expression
Three birds toadﬂax, not metaphorical, multiword expression
Rhodiola heterodonta, not metaphorical, multiword expression
Incarvillea delavayi, not metaphorical, multiword expression
Aurantiacum, not metaphorical, not multiword expression
Bomarea multiflora, not metaphorical, multiword expression
William Guiness, not metaphorical, multiword expression
Pachyphytum compactum, not metaphorical, multiword expression
Black gum, metaphorical, multiword expression
Alpine buttercup, metaphorical, multiword expression
Mammillaria sempervivi, not metaphorical, multiword expression
Genista aetnensis, not metaphorical, multiword expression
Argyroderma delaetii, not metaphorical, multiword expression
Echinopsis pentlandii, not metaphorical, multiword expression
Mathiasella bupleuroides, not metaphorical, multiword expression
Sandpiper, not metaphorical, not multiword expression
Heliopsis helianthoides var. scabra, not metaphorical, multiword expression
Cunninghamia lanceolata, not metaphorical, multiword expression
Blue Butterfly, metaphorical, multiword expression
Sensitive fern, metaphorical, multiword expression
Francoa sochifolia Rogerson’s form, metaphorical, multiword expression
Epilobium angustifolium f. album, not metaphorical, multiword expression
Mahonia japonica, not metaphorical, multiword expression
Music box, metaphorical, multiword expression
Cup-and-saucer vine, metaphorical, multiword expression
Pilea cadierei, not metaphorical, multiword expression
